0.00,14080, 0
0.00,14081, 0
0.00,14082, 0
0.00,14083, 0
0.00,14084, 0
0.00,14085, 0
0.00,14086, 0
0.00,14087, 0
0.00,14088, 0
0.00,14089, 0
0.00,14090, 0
0.00,14091, 0
0.00,14092, 0
0.00,14093, 0
0.00,14094, 0
0.00,14095, 0
0.00,14096, 0
0.00,14097, 0
0.00,14098, 0
0.00,14099, 0
0.00,14100, 0
0.00,14101, 0
0.00,14102, 0
0.00,14103, 0
0.00,14104, 0
0.00,14105, 0
0.00,14106, 0
0.00,14107, 0
0.00,14108, 0
0.00,14109, 0
0.00,14110, 0
0.00,14111, 0
0.00,14112, 0
0.00,14113, 0
0.00,14114, 0
0.00,14115, 0
0.00,14116, 0
0.00,14117, 0
0.00,14118, 0
0.00,14119, 0
0.00,14120, 0
0.00,14121, 0
0.00,14122, 0
0.00,14123, 0
0.00,14124, 0
0.00,14125, 0
0.00,14126, 0
0.00,14127, 0
0.00,14128, 0
0.00,14129, 0
0.00,14130, 0
0.00,14131, 0
0.00,14132, 0
0.00,14133, 0
0.00,14134, 0
0.00,14135, 0
0.00,14136, 0
0.00,14137, 0
0.00,14138, 0
0.00,14139, 0
0.00,14140, 0
0.00,14141, 0
0.00,14142, 0
0.00,14143, 0
0.00,14144, 0
0.00,14145, 0
0.00,14146, 0
0.00,14147, 0
0.00,14148, 0
0.00,14149, 0
0.00,14150, 0
0.00,14151, 0
0.00,14152, 0
0.00,14153, 0
0.00,14154, 0
0.00,14155, 0
0.00,14156, 0
0.00,14157, 0
0.00,14158, 0
0.00,14159, 0
